Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,033119,1995,06,61.8,Y
IDCJAC0001,033119,1995,07,2.4,Y
IDCJAC0001,033119,1995,08,128.0,Y
IDCJAC0001,033119,1995,09,5.6,Y
IDCJAC0001,033119,1995,10,87.0,Y
IDCJAC0001,033119,1995,11,85.0,Y
IDCJAC0001,033119,1995,12,100.4,Y
IDCJAC0001,033119,1996,01,742.8,Y
IDCJAC0001,033119,1996,02,190.4,Y
IDCJAC0001,033119,1996,03,147.8,Y
IDCJAC0001,033119,1996,04,100.0,Y
IDCJAC0001,033119,1996,05,59.0,Y
IDCJAC0001,033119,1996,06,93.8,Y
IDCJAC0001,033119,1996,07,61.4,Y
IDCJAC0001,033119,1996,08,11.2,Y
IDCJAC0001,033119,1996,09,20.8,Y
IDCJAC0001,033119,1996,10,62.8,Y
IDCJAC0001,033119,1996,11,80.0,Y
IDCJAC0001,033119,1996,12,106.4,Y
IDCJAC0001,033119,1997,01,42.0,Y
IDCJAC0001,033119,1997,02,531.6,Y
IDCJAC0001,033119,1997,03,233.2,Y
IDCJAC0001,033119,1997,04,70.4,Y
IDCJAC0001,033119,1997,05,134.6,Y
IDCJAC0001,033119,1997,06,44.2,Y
IDCJAC0001,033119,1997,07,18.8,Y
IDCJAC0001,033119,1997,08,57.2,Y
IDCJAC0001,033119,1997,09,30.2,Y
IDCJAC0001,033119,1997,10,28.6,Y
IDCJAC0001,033119,1997,11,10.8,Y
IDCJAC0001,033119,1997,12,195.6,Y
IDCJAC0001,033119,1998,01,123.8,Y
IDCJAC0001,033119,1998,02,70.8,Y
IDCJAC0001,033119,1998,03,220.4,Y
IDCJAC0001,033119,1998,04,137.4,Y
IDCJAC0001,033119,1998,05,99.8,Y
IDCJAC0001,033119,1998,06,65.0,Y
IDCJAC0001,033119,1998,07,29.4,Y
IDCJAC0001,033119,1998,08,207.8,Y
IDCJAC0001,033119,1998,09,55.8,Y
IDCJAC0001,033119,1998,10,46.0,Y
IDCJAC0001,033119,1998,11,138.2,Y
