Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,88023,1998,08,4.4,Y
IDCJAC0004,88023,1998,09,7.1,Y
IDCJAC0004,88023,1998,10,7.2,Y
IDCJAC0004,88023,1998,11,8.4,Y
IDCJAC0004,88023,1998,12,10.9,Y
IDCJAC0004,88023,1999,01,15.7,Y
IDCJAC0004,88023,1999,02,13.3,Y
IDCJAC0004,88023,1999,03,11.2,Y
IDCJAC0004,88023,1999,04,5.5,Y
IDCJAC0004,88023,1999,05,6.5,Y
IDCJAC0004,88023,1999,06,4.4,Y
IDCJAC0004,88023,1999,07,3.7,Y
IDCJAC0004,88023,1999,08,3.9,Y
IDCJAC0004,88023,1999,09,7.2,Y
IDCJAC0004,88023,1999,10,8.6,Y
IDCJAC0004,88023,1999,11,8.4,Y
IDCJAC0004,88023,1999,12,11.8,Y
IDCJAC0004,88023,2000,01,11.9,Y
IDCJAC0004,88023,2000,02,15.5,Y
IDCJAC0004,88023,2000,03,12.9,Y
IDCJAC0004,88023,2000,04,8.5,Y
IDCJAC0004,88023,2000,05,6.4,Y
IDCJAC0004,88023,2000,06,4.5,Y
IDCJAC0004,88023,2000,07,3.5,Y
IDCJAC0004,88023,2000,08,4.2,Y
IDCJAC0004,88023,2000,09,6.9,Y
IDCJAC0004,88023,2000,10,7.4,Y
IDCJAC0004,88023,2000,11,12.1,Y
IDCJAC0004,88023,2000,12,10.1,Y
IDCJAC0004,88023,2001,01,15.5,Y
IDCJAC0004,88023,2001,02,14.7,Y
IDCJAC0004,88023,2001,03,10.2,Y
IDCJAC0004,88023,2001,04,7.5,Y
IDCJAC0004,88023,2001,05,4.3,Y
IDCJAC0004,88023,2001,06,5.3,Y
IDCJAC0004,88023,2001,07,3.7,Y
IDCJAC0004,88023,2001,08,4.6,Y
IDCJAC0004,88023,2001,09,6.7,Y
IDCJAC0004,88023,2001,10,7.6,Y
IDCJAC0004,88023,2001,11,8.8,Y
IDCJAC0004,88023,2001,12,8.8,Y
IDCJAC0004,88023,2002,01,12.3,Y
IDCJAC0004,88023,2002,02,12.6,Y
IDCJAC0004,88023,2002,03,9.8,Y
IDCJAC0004,88023,2002,04,9.3,Y
IDCJAC0004,88023,2002,05,5.4,Y
IDCJAC0004,88023,2002,06,4.9,Y
IDCJAC0004,88023,2002,07,4.2,Y
IDCJAC0004,88023,2002,08,3.0,Y
IDCJAC0004,88023,2002,09,5.6,Y
IDCJAC0004,88023,2002,10,7.4,Y
IDCJAC0004,88023,2002,11,9.4,Y
IDCJAC0004,88023,2002,12,10.8,Y
IDCJAC0004,88023,2003,01,12.4,Y
IDCJAC0004,88023,2003,02,13.4,Y
IDCJAC0004,88023,2003,03,10.2,Y
IDCJAC0004,88023,2003,04,8.2,Y
IDCJAC0004,88023,2003,05,6.1,Y
IDCJAC0004,88023,2003,06,5.5,Y
IDCJAC0004,88023,2003,07,3.7,Y
IDCJAC0004,88023,2003,08,3.9,Y
IDCJAC0004,88023,2003,09,4.7,Y
IDCJAC0004,88023,2003,10,5.7,Y
IDCJAC0004,88023,2003,11,9.2,Y
IDCJAC0004,88023,2003,12,12.6,Y
IDCJAC0004,88023,2004,01,10.3,Y
IDCJAC0004,88023,2004,02,11.6,Y
IDCJAC0004,88023,2004,03,8.8,Y
IDCJAC0004,88023,2004,04,7.9,Y
IDCJAC0004,88023,2004,05,4.8,Y
IDCJAC0004,88023,2004,06,5.2,Y
IDCJAC0004,88023,2004,07,3.8,Y
IDCJAC0004,88023,2004,08,4.5,Y
IDCJAC0004,88023,2004,09,6.0,Y
IDCJAC0004,88023,2004,10,7.1,Y
IDCJAC0004,88023,2004,11,9.8,Y
IDCJAC0004,88023,2004,12,10.9,Y
IDCJAC0004,88023,2005,01,12.7,Y
IDCJAC0004,88023,2005,02,10.7,Y
IDCJAC0004,88023,2005,03,9.1,Y
IDCJAC0004,88023,2005,04,9.5,Y
IDCJAC0004,88023,2005,05,3.9,Y
IDCJAC0004,88023,2005,06,4.5,Y
IDCJAC0004,88023,2005,07,4.6,Y
IDCJAC0004,88023,2005,08,4.5,Y
IDCJAC0004,88023,2005,09,6.0,Y
IDCJAC0004,88023,2005,10,8.6,Y
IDCJAC0004,88023,2005,11,10.8,Y
IDCJAC0004,88023,2005,12,11.2,Y
IDCJAC0004,88023,2006,01,14.5,Y
IDCJAC0004,88023,2006,02,11.6,Y
IDCJAC0004,88023,2006,03,11.0,Y
IDCJAC0004,88023,2006,04,6.6,Y
IDCJAC0004,88023,2006,05,4.6,Y
IDCJAC0004,88023,2006,06,1.1,Y
IDCJAC0004,88023,2006,07,3.8,Y
IDCJAC0004,88023,2006,08,2.6,Y
IDCJAC0004,88023,2006,09,5.1,Y
IDCJAC0004,88023,2006,10,5.9,Y
IDCJAC0004,88023,2006,11,8.4,Y
IDCJAC0004,88023,2006,12,10.4,Y
IDCJAC0004,88023,2007,01,14.3,Y
IDCJAC0004,88023,2007,02,15.3,Y
IDCJAC0004,88023,2007,03,11.5,Y
IDCJAC0004,88023,2007,04,8.3,Y
IDCJAC0004,88023,2007,05,8.9,Y
IDCJAC0004,88023,2007,06,2.4,Y
IDCJAC0004,88023,2007,07,2.7,Y
IDCJAC0004,88023,2007,08,4.9,Y
IDCJAC0004,88023,2007,09,4.9,Y
IDCJAC0004,88023,2007,10,7.5,Y
IDCJAC0004,88023,2007,11,11.3,Y
IDCJAC0004,88023,2007,12,13.1,Y
IDCJAC0004,88023,2008,01,14.6,Y
IDCJAC0004,88023,2008,02,11.8,Y
IDCJAC0004,88023,2008,03,11.0,Y
IDCJAC0004,88023,2008,04,6.4,Y
IDCJAC0004,88023,2008,05,5.3,Y
IDCJAC0004,88023,2008,06,5.6,Y
IDCJAC0004,88023,2008,07,3.5,Y
IDCJAC0004,88023,2008,08,2.8,Y
IDCJAC0004,88023,2008,09,5.1,Y
IDCJAC0004,88023,2008,10,6.9,Y
IDCJAC0004,88023,2008,11,9.5,Y
IDCJAC0004,88023,2008,12,10.7,Y
IDCJAC0004,88023,2009,01,12.4,Y
IDCJAC0004,88023,2009,02,13.8,Y
IDCJAC0004,88023,2009,03,10.4,Y
IDCJAC0004,88023,2009,04,7.7,Y
IDCJAC0004,88023,2009,05,4.9,Y
IDCJAC0004,88023,2009,06,5.1,Y
IDCJAC0004,88023,2009,07,4.1,Y
IDCJAC0004,88023,2009,08,5.6,Y
IDCJAC0004,88023,2009,09,6.0,Y
IDCJAC0004,88023,2009,10,7.5,Y
IDCJAC0004,88023,2009,11,13.2,Y
IDCJAC0004,88023,2009,12,11.3,Y
IDCJAC0004,88023,2010,01,12.6,Y
IDCJAC0004,88023,2010,02,15.5,Y
IDCJAC0004,88023,2010,03,12.6,Y
IDCJAC0004,88023,2010,04,10.6,Y
IDCJAC0004,88023,2010,05,6.6,Y
IDCJAC0004,88023,2010,06,3.7,Y
IDCJAC0004,88023,2010,07,3.6,Y
IDCJAC0004,88023,2010,08,4.3,Y
IDCJAC0004,88023,2010,09,5.0,Y
IDCJAC0004,88023,2010,10,8.1,Y
IDCJAC0004,88023,2010,11,11.4,Y
IDCJAC0004,88023,2010,12,12.1,Y
IDCJAC0004,88023,2011,01,15.0,Y
IDCJAC0004,88023,2011,02,13.9,Y
IDCJAC0004,88023,2011,03,11.0,Y
IDCJAC0004,88023,2011,04,7.6,Y
IDCJAC0004,88023,2011,05,4.6,Y
IDCJAC0004,88023,2011,06,3.6,Y
IDCJAC0004,88023,2011,07,4.1,Y
IDCJAC0004,88023,2011,08,4.7,Y
IDCJAC0004,88023,2011,09,5.5,Y
IDCJAC0004,88023,2011,10,8.3,Y
IDCJAC0004,88023,2011,11,11.4,Y
IDCJAC0004,88023,2011,12,11.5,Y
IDCJAC0004,88023,2012,01,13.6,Y
IDCJAC0004,88023,2012,02,13.0,Y
IDCJAC0004,88023,2012,03,10.8,Y
IDCJAC0004,88023,2012,04,8.1,Y
IDCJAC0004,88023,2012,05,4.9,Y
IDCJAC0004,88023,2012,06,3.4,Y
IDCJAC0004,88023,2012,07,4.1,Y
IDCJAC0004,88023,2012,08,4.2,Y
IDCJAC0004,88023,2012,09,6.1,Y
IDCJAC0004,88023,2012,10,6.1,Y
IDCJAC0004,88023,2012,11,9.7,Y
IDCJAC0004,88023,2012,12,11.6,Y
IDCJAC0004,88023,2013,01,12.3,Y
IDCJAC0004,88023,2013,02,14.1,Y
IDCJAC0004,88023,2013,03,11.9,Y
IDCJAC0004,88023,2013,04,8.2,Y
IDCJAC0004,88023,2013,05,5.1,Y
IDCJAC0004,88023,2013,06,3.0,Y
IDCJAC0004,88023,2013,07,5.1,Y
IDCJAC0004,88023,2013,08,5.9,Y
IDCJAC0004,88023,2013,09,8.2,Y
IDCJAC0004,88023,2013,10,6.9,Y
IDCJAC0004,88023,2013,11,8.4,Y
IDCJAC0004,88023,2013,12,11.4,Y
